show_id,genre_id
1,1
2,2
2,3
2,4
3,5
3,2
3,6
4,7
4,8
5,2
5,9
5,10
6,3
6,11
6,4
7,12
8,13
8,14
8,15
9,16
9,8
10,17
10,13
11,5
11,7
11,2
12,5
12,2
12,6
13,13
13,15
14,12
14,17
15,16
15,5
15,7
16,10
16,3
17,1
17,15
18,5
18,18
18,3
19,19
20,2
20,18
20,6
21,5
21,7
21,2
22,2
22,6
22,3
23,17
23,15
24,12
25,17
25,15
25,20
26,7
26,2
26,8
27,17
27,15
27,21
28,17
29,22
29,23
30,19
31,13
31,14
31,15
32,10
33,16
33,2
33,10
34,2
34,3
34,24
35,25
36,13
36,15
36,19
37,26
37,13
37,15
38,25
38,10
39,26
39,13
40,25
41,25
41,27
42,26
42,28
42,13
43,13
43,22
43,19
44,26
44,22
44,19
45,26
45,22
45,19
46,1
47,26
48,2
48,9
48,10
49,13
49,19
50,2
50,3
51,2
51,3
51,27
52,26
52,29
52,15
53,26
53,29
53,15
54,26
54,29
54,15
55,26
55,29
55,15
56,8
57,26
57,29
57,15
58,26
58,29
58,15
59,26
59,29
59,15
60,26
60,29
60,15
61,26
61,29
61,15
62,26
62,29
62,15
63,26
63,29
63,15
64,26
64,29
64,15
65,12
66,25
67,7
67,2
68,25
68,10
69,1
69,15
69,30
70,2
70,3
71,2
71,8
71,9
72,12
73,16
73,7
73,2
74,13
74,15
75,8
76,12
77,31
77,2
78,12
78,17
79,17
79,13
79,15
80,17
80,13
80,15
81,12
82,26
83,5
83,10
83,3
84,8
85,26
85,17
85,13
86,31
86,25
87,15
87,19
88,25
88,32
89,1
89,30
90,25
91,23
91,19
92,1
92,15
93,2
93,3
93,4
94,13
94,15
94,20
95,12
95,17
96,8
97,1
97,21
98,25
98,10
98,27
99,16
99,25
100,10
100,3
101,25
102,1
102,30
103,7
103,33
104,13
104,15
104,19
105,25
105,32
106,26
106,17
106,13
107,25
107,10
108,12
108,13
109,25
109,3
109,34
110,5
110,2
110,18
111,7
111,2
111,18
112,25
113,13
114,17
114,20
115,13
115,15
115,19
116,13
116,20
117,17
117,13
117,14
118,1
119,13
119,15
119,19
120,13
120,15
120,20
121,25
121,10
122,2
122,9
122,10
123,19
124,25
125,25
125,32
126,5
126,6
126,10
127,13
127,15
127,20
128,12
128,17
129,13
129,15
129,19
130,13
131,12
131,21
132,26
132,28
132,35
133,2
133,6
133,10
134,26
134,23
135,26
135,13
136,26
137,13
137,20
138,26
138,17
139,13
139,20
140,28
140,17
140,13
141,13
141,15
141,19
142,26
143,13
144,26
144,23
145,17
145,35
146,17
146,35
146,21
147,17
147,21
148,8
149,36
150,26
150,17
151,19
152,26
152,15
153,17
154,25
155,31
155,2
155,34
156,26
156,12
156,35
157,17
157,13
157,20
158,23
158,19
159,17
159,20
160,17
160,13
160,15
161,10
162,17
162,35
162,23
163,13
164,17
164,20
165,26
165,17
166,5
166,2
166,18
167,28
167,13
168,12
168,17
169,26
169,12
169,17
170,26
170,13
171,1
171,21
172,13
172,37
173,17
173,21
174,1
174,38
175,26
175,13
176,13
176,20
177,26
177,17
178,26
178,28
179,26
179,17
180,17
180,20
181,17
181,20
182,7
183,17
184,26
184,28
185,8
186,1
186,30
187,2
187,9
187,10
188,2
188,10
189,17
189,15
190,25
190,10
191,13
191,15
192,13
192,14
193,26
193,17
193,15
194,2
194,3
195,2
195,18
195,3
196,17
196,13
196,15
197,17
197,20
198,25
198,10
199,5
199,2
199,3
200,17
200,13
200,15
201,26
201,22
201,15
202,13
202,15
202,19
203,17
203,15
203,21
204,17
204,15
205,17
205,15
206,17
206,15
206,23
207,13
207,14
207,15
208,26
208,15
208,21
209,13
209,15
209,21
210,13
210,15
210,21
211,22
211,15
212,22
212,15
213,2
213,3
214,7
214,2
215,26
215,15
216,26
216,13
216,15
217,17
217,13
217,14
218,17
218,13
218,15
219,8
219,34
220,31
220,2
221,25
221,10
222,1
223,5
223,3
223,4
224,5
224,7
224,2
225,2
225,8
226,2
226,3
226,4
227,2
227,10
227,3
228,13
228,14
228,20
229,26
230,22
231,1
231,30
232,12
232,13
233,8
234,1
234,21
235,25
235,10
236,1
236,38
236,30
237,22
237,15
237,19
238,22
238,15
238,19
239,22
239,15
239,19
240,22
240,15
240,19
241,26
241,29
242,3
242,4
242,27
243,2
243,10
244,2
244,18
244,10
245,13
245,15
245,19
246,7
246,2
247,13
247,15
247,20
248,26
248,13
249,10
249,3
250,12
250,17
250,21
251,13
251,15
251,20
252,13
252,14
